SystemID,Function,Produktbezeichnung,Produkttyp,Hersteller,Artikelnummer,Lieferformat,LeistungserklärungNr,Bezeichnung_nach_SIA,Anwendung_nach_SIA,Material,Wärmeleitfähigkeit,Gefälle,Mindestdicke,sd_Wert,Flächenbezogene_Masse,Druckfestigkeit,Druckspannung_bei_10_Stauchung,Wasserspeichervermögen,Brandverhalten,Brandverhaltensgruppe,Spezifische_Wärmekapazität,Rohdichte,Diffusionswiderstandszahl,Wärmestandfestigkeit,Kaltbiegeverhalten,Verbrauch,MaximaleBenutzerzahl,Überprüfungsintervall,MaximalePrüflast,Kostencode,Kostenbezeichnung,Preisbasis,Preisstand,Einheitspreis
3,01_Unterkonstruktion,Stahlbeton ohne Gefälle 200 mm,Unterkonstruktion Beton,,,,,Unterkonstruktion Beton,Unterkonstruktion ohne Gefälle,Stahlbeton,2.3,0.0,200,0,0,30000,,0,A1,6.1,1.0,2400,200,0,0,0,0,0,0,,Unterkonstruktion Beton,m²,,
3,02_Haftvermittler,Bitumenlack VS BASIC,Haftvermittler,swisspor,100165,10 L Gebinde,DoP-103002,Haftvermittler,Flachdach Haftvermittler,Bitumen,0,0,0,0,0,0,,0,E,5.2,0,0,0,0,0,0.3,0,0,0,,Haftvermittler,m²,,
3,03_Dampfbremse,BIKUVAP LL EVA am,Dampfbremse / Bauzeitabdichtung,swisspor,100152,15 x 1.0 m Rolle,DoP-103003,Dampfbremse SIA 271,Bauzeitabdichtung und Dampfbremse,Elastomerbitumen EVA,0,0,0,100,3.2,0,,0,E,5.2,0,0,0,100,0,0,0,0,0,,Dampfbremse,m²,,
3,04_Wärmedämmung,PIR Alu 120 mm,Wärmedämmung,swisspor,103094,1200 x 600 mm,DoP-103004,Wärmedämmung SIA 279,Wärmedämmung Flachdach,PIR alukaschiert,0.022,0,120,0,0,150,150,0,E,5.3,1.4,35,50,0,0,0,0,0,0,,Wärmedämmung PIR Alu,m²,,
3,05_Gefälledämmung,LAMBDA Roof Gefälleplatten MD 50 mm,Gefälledämmung,swisspor,102715,1200 x 600 mm,DoP-103005,Gefälledämmung SIA 279,Gefälleausbildung Flachdach,EPS,0.031,1.5,50,0,0,150,150,0,E,5.3,1.45,20,40,0,0,0,0,0,0,,Gefälledämmung EPS,m²,,
3,06_Unterbahn,BIKUPLAN EGV3.5 v am,Unterbahn,swisspor,100078,10 x 1.0 m Rolle,DoP-103006,Unterbahn SIA 271,Untere Abdichtungslage,Elastomerbitumen Glasgittervlies,0,0,3.5,175,4.2,0,,0,E,5.2,0,0,0,100,-20,0,0,0,0,,Unterbahn,m²,,
3,07_Oberbahn,BIKUTOP LL FORTE,Oberbahn,swisspor,100132,7 x 1.1 m Rolle,DoP-103007,Oberbahn SIA 271,Obere Abdichtungslage beschiefert,Elastomerbitumen Polyestervlies,0,0,5.3,250,6.0,0,,0,E,5.2,0,0,0,120,-20,0,0,0,0,,Oberbahn,m²,,
3,09_Drainageschicht,swisspor Drain 20VP,Drainageschicht,swisspor,104264,2.0 x 20.0 m Rolle,DoP-103008,Drainageschicht SIA 271,Drainageschicht Flachdach,HDPE,0,0,20,0,0,150,,20,E,5.2,0,0,0,0,0,0,0,0,0,,Drainageschicht,m²,,
3,13_Splitschicht,Splittbett,Splitschicht,,,,,Splitschicht,Splitschicht geschlossener Belag,Splitt 8-16 mm,0,0,50,0,0,0,,0,A1,6.1,0,1600,0,0,0,0,0,0,0,,Splitschicht,m²,,
3,16_Belag,Begehbar geschlossener Belag,Belagsystem,,,,,Belag geschlossen,Begehbarer Belag auf Splitschicht,Beton/Naturstein,0,0,0,0,0,0,,0,A1,6.1,0,0,0,0,0,0,0,0,0,,Belag geschlossen,m²,,
