SystemID,Function,Produktbezeichnung,Produkttyp,Hersteller,Artikelnummer,Lieferformat,LeistungserklärungNr,Bezeichnung_nach_SIA,Anwendung_nach_SIA,Material,Wärmeleitfähigkeit,Gefälle,Mindestdicke,sd_Wert,Flächenbezogene_Masse,Druckfestigkeit,Druckspannung_bei_10_Stauchung,Wasserspeichervermögen,Brandverhalten,Brandverhaltensgruppe,Spezifische_Wärmekapazität,Rohdichte,Diffusionswiderstandszahl,Wärmestandfestigkeit,Kaltbiegeverhalten,Verbrauch,MaximaleBenutzerzahl,Überprüfungsintervall,MaximalePrüflast,Kostencode,Kostenbezeichnung,Preisbasis,Preisstand,Einheitspreis
05,01_Unterkonstruktion,Stahlbeton ohne Gefälle 200 mm,Unterkonstruktion Beton,,,Pauschal,DoP-101001,Unterkonstruktion Beton,Unterkonstruktion ohne Gefälle,Stahlbeton,2.3,0.0,200,0,0,30000,,0,A1,6.1,1.0,2400,200,0,0,0,0,0,0,,Unterkonstruktion Beton,m²,,
05,02_Haftvermittler,Bitumenlack VS BASIC,Haftvermittler,swisspor,100165,10 L Gebinde,DoP-101002,Haftvermittler,Flachdach Haftvermittler,Bitumen,0,0,0,0,0,0,,0,E,5.2,0,0,0,0,0,0.3,0,0,0,,Haftvermittler,m²,,
05,03_Dampfbremse,BIKUVAP LL EVA flam,Dampfbremse / Bauzeitabdichtung,swisspor,100152,15 x 1.0 m Rolle,DoP-101003,Dampfbremse SIA 271,Bauzeitabdichtung und Dampfbremse,Elastomerbitumen EVA,0,0,0,100,3.2,0,,0,E,5.2,0,0,0,100,0,0,0,0,0,,Dampfbremse,m²,,
05,04_Wärmedämmung,PIR Alu 100 mm,Wärmedämmung,swisspor,103093,1200 x 600 mm,DoP-101004,Wärmedämmung SIA 279,Wärmedämmung Flachdach,PIR alukaschiert,0.022,0,100,0,0,150,150,0,E,5.3,1.4,35,50,0,0,0,0,0,0,,Wärmedämmung PIR Alu,m²,,
05,05_Gefälledämmung,LAMBDA Roof Gefälleplatten MD 50 mm,Gefälledämmung,swisspor,102715,1200 x 600 mm,DoP-101005,Gefälledämmung SIA 279,Gefälleausbildung Flachdach,EPS,0.031,1.5,50,0,0,150,150,0,E,5.3,1.45,20,40,0,0,0,0,0,0,,Gefälledämmung EPS,m²,,
05,06_Unterbahn,BIKUPLAN EGV3.5 v flam,Unterbahn,swisspor,100078,10 x 1.0 m Rolle,DoP-101006,Unterbahn SIA 271,Untere Abdichtungslage,Elastomerbitumen Glasgittervlies,0,0,3.5,175,4.2,0,,0,E,5.2,0,0,0,100,-20,0,0,0,0,,Unterbahn,m²,,
05,07_Oberbahn,BIKUTOP LL VERTE,Oberbahn wurzelecht,swisspor,100139,7 x 1.1 m Rolle,DoP-101007,Oberbahn SIA 271,Obere Abdichtungslage wurzelecht,Elastomerbitumen Polyestervlies,0,0,5.3,250,6.0,0,,0,E,5.2,0,0,0,120,-20,0,0,0,0,,Oberbahn wurzelecht,m²,,
05,08_Trennschicht,Trenn- und Schutzvlies 300 g/m²,Trennschicht,swisspor,104263,50 x 1.5 m Rolle,DoP-101008,Trennschicht SIA 271,Trenn- und Schutzlage Kiesdach,Polypropylen PP,0,0,0,0,0.3,0,,0,A1,6.1,0,0,0,0,0,0,0,0,0,,Trennschicht Vlies,m²,,
05,12_Schutzschicht,Rundkies 50 mm gewaschen,Schutzschicht Kies,Lieferant,,Lose/Big Bag,,Schutzschicht,Schutz-/Auflastschicht Kiesdach,Rundkies gewaschen,0,0,50,0,90,0,,0,A1,6.1,0,1800,0,0,0,0,0,0,0,,Schutzschicht Kies,m²,,
05,17_Absturzsicherung,Seilsystem überfahrbar SAFSYS,Absturzsicherung,swisspor,101011,Systemlieferung,DoP-101011,Absturzsicherung SIA 358,Seilsystem überfahrbar,Edelstahl,0,0,0,0,0,0,,0,A1,6.1,0,0,0,0,0,0,4,1,6.0,,Absturzsicherung Seilsystem,Stk,,
